id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
11168275173242115571,1,14102809,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,285aa37d,3bb1ddd7,1,0,22268,320,50,2566,3,815,100156,42
10672030661599275505,0,14103010,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,d23d6fb4,d31a172e,1,2,23739,320,50,2676,0,299,100177,221
4838281431422575695,0,14102215,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,e9e7cc07,cd63b0bb,1,0,20277,320,50,2281,3,47,100181,42
4761764439680744218,0,14102110,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,de41c245,daee1571,1,0,19775,320,50,2229,0,687,100031,48
6327848167825475269,0,14102909,1010,1,85f751fd,c4e18dd6,50e219e0,c7f29df3,7801e8d9,0f2161f8,f0a4709a,3df0674b,ef726eae,4,0,23640,320,50,2709,3,35,100048,23
7081244722007285003,0,14102317,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9d62abfd,d57111ae,1,2,20996,320,50,2369,0,809,100111,46
3409718423473180762,0,14102803,1005,0,bb4524e7,d733bbc3,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b2387073,684581ce,1,0,20632,320,50,2374,3,39,100148,23
16993110365171053103,0,14102901,1005,0,12fb4121,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,75bb1b58,81b42528,1,0,23401,320,50,2682,1,419,-1,212
17660174522691141537,0,14102600,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1736e76a,684581ce,1,0,16208,320,50,1800,3,167,100077,23
4604679630253107654,0,14102319,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,a3274fcc,53a4b240,7abbbd5c,1,0,18093,320,50,2060,3,39,-1,23
13462093680236414997,1,14102404,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,154d91da,7abbbd5c,1,0,15705,320,50,1722,0,35,-1,79
8391323525289330033,0,14102409,1005,0,85f751fd,c4e18dd6,50e219e0,39fb6e33,d9b5648e,0f2161f8,a99f214a,88501709,2ea4f8ba,1,0,16841,320,50,1884,1,43,100057,71
2987161903342741936,0,14103015,1005,1,85f751fd,c4e18dd6,50e219e0,1dc72b4d,2347f47a,0f2161f8,5cb71071,79408b7f,7c0dcb56,1,0,23701,300,50,2714,3,47,-1,23
1029731492601083117,0,14102312,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ca5fe803,5096d134,1,0,15708,320,50,1722,0,35,100083,79
11585620661633296372,0,14102211,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a34bb116,4ea23a13,1,0,15707,320,50,1722,0,35,-1,79
14478824420129132120,0,14102110,1010,1,85f751fd,c4e18dd6,50e219e0,dd5ef493,7801e8d9,0f2161f8,3c6ccd10,464f2dc8,f07e20f8,4,2,16838,320,50,1882,3,35,-1,13
9691420132505726963,0,14102118,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f18574b9,d787e91b,1,0,21762,320,50,2502,0,35,100084,221
13605063348454315515,0,14102308,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b3a19f71,8a4875bd,1,0,22104,320,50,2545,0,35,100083,221
9162609101687534446,0,14102401,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,05dabea7,542422a7,1,0,21611,320,50,2480,3,297,100111,61
3872430133223391339,1,14102216,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,fba336ea,1,0,15706,320,50,1722,0,35,-1,79
3149331994375825618,0,14102808,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,c317c7b3,e262810b,1,0,22683,320,50,2528,0,39,-1,221
16435177494688681252,0,14102206,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,495db931,be6db1d7,1,0,20007,320,50,2283,0,163,-1,95
8156424931880692666,0,14102714,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a5d913b2,31b518a2,0dedddc5,1,2,17017,320,50,1873,3,39,-1,23
7407850385466285682,0,14102309,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8508a5fd,8a4875bd,1,0,22120,320,50,1702,0,1059,100081,110
5266630313205817006,0,14102318,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,37bf7026,c94fff1a,1,0,21994,320,50,2533,0,687,100079,48
5900099530966125787,0,14102609,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,62591e81,711ee120,1,0,15707,320,50,1722,0,35,100084,79
9844987450197248506,0,14102612,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8edcd3d6,8a4875bd,1,0,16208,320,50,1800,3,167,100075,23
10976590332473987090,0,14102301,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,51d68e76,d787e91b,1,0,15699,320,50,1722,0,35,-1,79
10557280924632246676,0,14102211,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,ccc21260,73b4563d,1,2,21768,320,50,2506,0,35,-1,157
15763982181813322583,0,14103018,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1cf29716,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
15841965008048426449,1,14102212,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f313cd9f,ef726eae,1,0,21767,320,50,2506,0,35,100148,157
7848004002176703516,0,14102714,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,695156c5,2692a96a,1,0,21191,320,50,2424,1,161,100192,71
15303212616470509599,1,14102116,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,0891af09,a76c4b0a,1,0,17654,300,250,1994,2,39,100084,33
1759695487594214488,0,14102713,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,9343cb87,0153a639,1,0,15702,320,50,1722,0,35,100083,79
